四六级合并词汇,,
abandon,"vt.放弃,遗弃;n.放任,狂热",4级单词
ability,"n.能力,才干",4级单词
abnormal,"adj.反常的,变态的;",4级单词
aboard,"adv.在船(飞机、车)上,上船(飞机、车);prep.在(船、飞机、车)上,上(船、飞机、车)",4级单词
abolish,"vt.废止,废除(法律、制度、习俗等)",4级单词
abortion,"n.流产,堕胎,失败,夭折,中止,早产",4级单词
abroad,"adv.往国外,到处,海外,广泛,差得远,心里没有谱",4级单词
abrupt,"adj.突然的,陡峭的,生硬的",4级单词
absence,"n.不在,缺席,缺乏,没有",4级单词
absent,"adj.不在的,缺席的,缺少的;vt.缺席",4级单词
absolute,"adj.完全的,绝对的",4级单词
absorb,"vt.吸收,吸引",4级单词
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化",4级单词
absurd,"adj.荒谬的,可笑的",4级单词
abundance,"n.丰富,充裕,丰富充裕",4级单词
abundant,"adj.丰富的,充裕的,丰富,盛产,富于",4级单词
abuse,"n.滥用,虐待,辱骂,陋习;v.滥用,虐待,辱骂",4级单词
academic,"adj.学院的,理论的",4级单词
academy,"n.(高等)专科院校,研究院,学会,学术团体,学院",4级单词
accelerate,"v.加速,促进",4级单词
accent,"n.重音,口音,重音符",4级单词
acceptance,"n.接受,承诺,容忍,赞同,相信",4级单词
access,"n.通路,访问,入门;vt.存取,接近",4级单词
accessory,"n.附件,零件,附加物,从犯,同谋者;adj.附属的,补充的,同谋的,副的",4级单词
accident,"n.意外事件,事故",4级单词
accidental,"adj.意外的,非主要的,附属的;n.非本质属性,次要方面",4级单词
accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应",4级单词
accommodation,"n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合",4级单词
accompany,"vt.陪伴,伴奏",4级单词
accomplish,"vt.完成,达到,实现",4级单词
accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合",4级单词
accordance,"n.一致,和谐",4级单词
according,adv.依照,4级单词
accordingly,"adv.因此,从而",4级单词
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为",4级单词
accountant,"n.会计(员),会计师",4级单词
accumulate,"v.积聚,堆积",4级单词
accuracy,"n.精确性,正确度",4级单词
accurate,"adj.正确的,精确的",4级单词
accuse,"vt.控告,谴责,非难",4级单词
accustomed,"adj.通常的,习惯的,按照风俗习惯的",4级单词
ache,"n.疼痛;vi.觉得疼痛,渴望",4级单词
achievement,"n.成就,功绩",4级单词
acid,"n.[化]酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的",4级单词
acknowledge,"vt.承认,答谢,报偿",4级单词
acquaint,"vt.使熟知,通知",4级单词
acquaintance,"n.相识,熟人",4级单词
acquire,"vt.获得,学到",4级单词
acquisition,"n.获得,获得物",4级单词
acre,"n.英亩,地产,大片田地",4级单词
action,"n.动作,作用,战斗,行动,情节,(最能产生效果,最有趣,最有刺激性的活动);vt.对...起诉",4级单词
activate,"vt.刺激,使活动;vi.有活力",4级单词
active,"adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的;n.[语法]主动语态,积极分子",4级单词
activity,"n.活跃,活动性,行动,行为,[核]放射性",4级单词
acute,"adj.敏锐的,[医]急性的,剧烈",4级单词
adapt,"vt.使适应,改编",4级单词
addict,"vt.使沉溺,使上瘾;n.入迷的人,有瘾的人",4级单词
addition,"n.加,加起来,增加物,增加,加法",4级单词
additional,"adj.另外的,附加的,额外的",4级单词
adequate,"adj.适当的,足够的",4级单词
adhere,"vi.粘附,胶着,坚持;v.坚持",4级单词
adjacent,"adj.邻近的,接近的",4级单词
adjoin,"v.邻接,毗连",4级单词
adjust,"vt.调整,调节,校准,使适合",4级单词
administration,"n.管理,经营,行政部门",4级单词
admire,"v.赞美,钦佩,羡慕",4级单词
admission,"n.允许进入,承认某事之陈述,供认",4级单词
admit,"v.容许,承认,接纳",4级单词
adolescent,"adj.青春期的,青春的;n.青少年",4级单词
adopt,"vt.采用,收养",4级单词
adore,"v.崇拜,爱慕,(口语)喜爱",4级单词
adult,"n.成人,成年人;adj.成人的,成熟的",4级单词
advanced,"adj.高级的,年老的,先进的",4级单词
advantage,"n.优势,有利条件,利益",4级单词
adventure,"n.冒险,冒险的经历;v.冒险",4级单词
adverse,"adj.不利的,敌对的,相反的",4级单词
advertise,"v.做广告,登广告",4级单词
advertisement,"n.广告,做广告",4级单词
advisable,"adj.可取的,明智的",4级单词
advocate,"n.提倡者,鼓吹者;vt.提倡,鼓吹",4级单词
aerial,"adj.航空的,生活在空气中的,空气的,高耸的;n.天线",4级单词
aeroplane,n.飞机,4级单词
